"","Ordem","Titulo","Endereco","Numero","Bairro","Area","Quartos","Banheiros","Vagas","Preco","Preco_m2","cod_bairro","qtde_bo","bo_per_capita","idadedobairro","dens_pop","areaHa","pop_2010","renda_med_dom_SM_mes","lnpreco","idade2","lnrenda"
"82",6037,"Apartamento com 3 Quartos a  Venda, 98m2","Rua General Neto",9999,"Floresta",98,3,2,0,398000,4061.22448979592,4314902040,2528,1691.98848805301,63,89.5,167,14941,12.39,12.8942070007324,3969,2.51688981056213
"83",1523,"Apartamento com 2 Quartos a  Venda, 64m2","Rua Tomaz Flores",9999,"Bom Fim",64,2,1,0,350000,5468.75,4314902038,928,817.549114615452,63,298.7,38,11351,15.8,12.7656888961792,3969,2.76001000404358
"84",6874,"Apartamento com 2 Quartos a  Venda, 55m2","sem info",9999,"Humaita",55,2,1,0,210000,3818.18181818182,4314902066,904,863.41929321872,34,25.1,417,10470,6,12.2548627853394,1156,1.7917594909668
"85",6494,"Apartamento com 3 Quartos a  Venda, 63m2","Rua Ernesto Alves",174,"Floresta",63,3,1,0,290000,4603.1746031746,4314902040,2528,1691.98848805301,63,89.5,167,14941,12.39,12.5776357650757,3969,2.51688981056213
"86",1820,"Apartamento com  Quarto a  Venda, 41m2","sem info",9999,"Cidade Baixa",41,1,1,0,239000,5829.26829268293,4314902003,1784,1072.50210412408,63,210.6,79,16634,11.2,12.3842191696167,3969,2.41591382026672
"87",7435,"Apartamento com 2 Quartos a  Venda, 67m2","Rua Otavio Faria",353,"Teresopolis",67,2,2,0,240000,3582.08955223881,4314902011,757,589.380255372158,63,43.5,295,12844,10.31,12.3883943557739,3969,2.33311438560486
"88",7839,"Apartamento com 2 Quartos a  Venda, 86m2","Avenida Farrapos",2479,"Sao Geraldo",86,2,2,0,3e+05,3488.37209302326,4314902047,908,1044.63874827428,63,60.4,144,8692,8.29,12.6115379333496,3969,2.11505007743835
"89",5591,"Apartamento com 2 Quartos a  Venda, 71m2","Rua Coronel Fernando Machado",9999,"Centro Historico",71,2,1,0,410000,5774.64788732394,4314902036,8878,2408.44229830177,63,161.7,228,36862,12.61,12.9239120483398,3969,2.53449010848999
"90",2355,"Apartamento com 2 Quartos a  Venda, 49m2","Rua Botafogo",631,"Menino Deus",49,2,1,0,249000,5081.63265306122,4314902004,2188,739.764005815329,63,137.6,215,29577,15.6,12.4252080917358,3969,2.74727082252502
"91",9296,"Apartamento com  Quarto a  Venda, 43m2","sem info",9999,"Cidade Baixa",43,1,1,0,308000,7162.79069767442,4314902003,1784,1072.50210412408,63,210.6,79,16634,11.2,12.6378555297852,3969,2.41591382026672
"92",248,"Apartamento com 2 Quartos a  Venda, 59m2","Rua Vinte de Setembro",437,"Menino Deus",59,2,1,0,345000,5847.45762711864,4314902004,2188,739.764005815329,63,137.6,215,29577,15.6,12.7512998580933,3969,2.74727082252502
"93",579,"Apartamento com  Quarto a  Venda, 40m2","sem info",9999,"Bom Fim",40,1,1,0,195000,4875,4314902038,928,817.549114615452,63,298.7,38,11351,15.8,12.1807546615601,3969,2.76001000404358
"94",578,"Apartamento com 3 Quartos a  Venda, 76m2","Avenida Parana",2200,"Floresta",76,3,1,0,275000,3618.42105263158,4314902040,2528,1691.98848805301,63,89.5,167,14941,12.39,12.5245265960693,3969,2.51688981056213
"95",4948,"Apartamento com 2 Quartos a  Venda, 63m2","sem info",9999,"Centro Historico",63,2,2,0,3e+05,4761.90476190476,4314902036,8878,2408.44229830177,63,161.7,228,36862,12.61,12.6115379333496,3969,2.53449010848999
"96",2672,"Apartamento com 2 Quartos a  Venda, 57m2","Rua Grao Para",9999,"Menino Deus",57,2,1,0,198000,3473.68421052632,4314902004,2188,739.764005815329,63,137.6,215,29577,15.6,12.1960220336914,3969,2.74727082252502
"97",6648,"Apartamento com 2 Quartos a  Venda, 90m2","sem info",9999,"Floresta",90,2,2,0,3e+05,3333.33333333333,4314902040,2528,1691.98848805301,63,89.5,167,14941,12.39,12.6115379333496,3969,2.51688981056213
"98",1157,"Apartamento com 2 Quartos a  Venda, 90m2","Rua Doutor Oscar Bittencourt",183,"Menino Deus",90,2,1,0,250000,2777.77777777778,4314902004,2188,739.764005815329,63,137.6,215,29577,15.6,12.4292163848877,3969,2.74727082252502
"99",7088,"Apartamento com 2 Quartos a  Venda, 75m2","Rua Doutor Oscar Bittencourt",2,"Menino Deus",75,2,2,0,390000,5200,4314902004,2188,739.764005815329,63,137.6,215,29577,15.6,12.8739023208618,3969,2.74727082252502
"100",1173,"Apartamento com  Quarto a  Venda, 45m2","sem info",9999,"Petropolis",45,1,1,0,150000,3333.33333333333,4314902019,2236,637.600159685192,63,105.3,333,35069,20.37,11.9183902740479,3969,3.01406311988831
"101",2836,"Apartamento com  Quarto a  Venda, 32m2","Rua Santo Antonio",9999,"Bom Fim",32,1,1,0,150000,4687.5,4314902038,928,817.549114615452,63,298.7,38,11351,15.8,11.9183902740479,3969,2.76001000404358
"102",5149,"Apartamento com 3 Quartos a  Venda, 119m2","Rua Ramiro Barcelos",1853,"Bom Fim",119,3,2,0,530000,4453.78151260504,4314902038,928,817.549114615452,63,298.7,38,11351,15.8,13.1806325912476,3969,2.76001000404358
"103",8447,"Apartamento com 2 Quartos a  Venda, 64m2","Avenida Sao Pedro",1285,"Sao Geraldo",64,2,1,0,236000,3687.5,4314902047,908,1044.63874827428,63,60.4,144,8692,8.29,12.3715867996216,3969,2.11505007743835
"104",2914,"Apartamento com 2 Quartos a  Venda, 55m2","Rua Riachuelo",9999,"Centro Historico",55,2,2,0,280000,5090.90909090909,4314902036,8878,2408.44229830177,63,161.7,228,36862,12.61,12.5425453186035,3969,2.53449010848999
"105",3250,"Apartamento com  Quarto a  Venda, 40m2","Rua Riachuelo",9999,"Centro Historico",40,1,1,0,260000,6500,4314902036,8878,2408.44229830177,63,161.7,228,36862,12.61,12.4684371948242,3969,2.53449010848999
"106",5955,"Apartamento com  Quarto a  Venda, 37m2","Rua Joao Alfredo",776,"Cidade Baixa",37,1,1,0,160000,4324.32432432432,4314902003,1784,1072.50210412408,63,210.6,79,16634,11.2,11.9829292297363,3969,2.41591382026672
"107",6310,"Apartamento com 2 Quartos a  Venda, 87m2","Rua Barao do Amazonas",273,"Petropolis",87,2,1,0,260000,2988.50574712644,4314902019,2236,637.600159685192,63,105.3,333,35069,20.37,12.4684371948242,3969,3.01406311988831
"108",2279,"Apartamento com 2 Quartos a  Venda, 97m2","sem info",9999,"Vila Ipiranga",97,2,2,0,335000,3453.60824742268,4314902057,1055,503.555916185385,63,40.3,520,20951,8.99,12.7218856811523,3969,2.19611287117004
"109",6822,"Apartamento com 2 Quartos a  Venda, 60m2","Rua Luis Luz",119,"Boa Vista",60,2,1,0,5e+05,8333.33333333333,4314902056,501,576.458405246807,63,54.3,160,8691,25.76,13.1223630905151,3969,3.24882292747498
"110",249,"Apartamento com 2 Quartos a  Venda, 80m2","Avenida Senador Salgado Filho",9999,"Centro Historico",80,2,2,0,350000,4375,4314902036,8878,2408.44229830177,63,161.7,228,36862,12.61,12.7656888961792,3969,2.53449010848999
